2026-08-27 20:51:40,958 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:42,643 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:45,953 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:45,983 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:46,001 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:46,001 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:47,393 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:48,145 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ip2location_country/ip2location_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:48,543 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipdeny_country/id_country_cm.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:48,567 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipdeny_country/id_country_by.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:48,656 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipdeny_country/id_country_gb.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:48,676 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipdeny_country/id_country_ci.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:51,276 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipdeny_country/id_country_gg.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:51,563 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipdeny_country/id_country_jp.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:51,595 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipdeny_country/id_country_ki.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:51,665 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipdeny_country/id_country_ke.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:51,720 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipdeny_country/id_country_ky.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:51,759 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipdeny_country/id_country_kz.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:51,843 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipdeny_country/id_country_mo.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:53,755 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipdeny_country/id_country_sr.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:54,182 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipip_country/ipip_continent_af.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:54,184 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipip_country/ipip_country_as.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:59,706 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipip_country/ipip_country_dk.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:51:59,895 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipip_country/ipip_country_hr.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:52:02,035 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipip_country/ipip_country_kz.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
